,Correlation Coefficient,Fold number,Correlation metric
0,0.8051728995048043,1,Pearsons-r
1,0.6423257339484707,1,Kendalls-tau
2,0.4724319448902866,1,MAE/MAD
3,0.8454661408977898,2,Pearsons-r
4,0.6590050672079876,2,Kendalls-tau
5,0.4688684144458538,2,MAE/MAD
6,0.6932444471986389,3,Pearsons-r
7,0.6380832846185219,3,Kendalls-tau
8,0.5557161171086807,3,MAE/MAD
9,0.6816199832948503,4,Pearsons-r
10,0.6775933468916568,4,Kendalls-tau
11,0.5301321332388282,4,MAE/MAD
12,0.7316047241397629,5,Pearsons-r
13,0.6568586821018074,5,Kendalls-tau
14,0.537437799150009,5,MAE/MAD
