Perturbation,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nSpiro,nBridgehead,nHetero,BertzCT,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,PNSA1,PPSA1,DPSA1,FNSA1,FPSA1,WNSA1,WPSA1,RNCG,RPCG,RNCS,RPCS,TASA,TPSA,RASA,RPSA,HybRatio,FCSP3,AETA_beta,ETA_beta_s,AETA_beta_s,ETA_beta_ns,AETA_beta_ns,ETA_beta_ns_d,AETA_beta_ns_d,ETA_eta,AETA_eta,ETA_eta_L,AETA_eta_L,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,nRot,RotRatio,SLogP,SMR,TopoPSA,GGI1,GGI2,Vabc,MW,AMW,WPath,WPol,Zagreb1,dG_exp
05>35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061698627,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,69.59896729560205,-42.08278895363583,-111.68175624923788,0.058088960275331274,-0.058088960275331177,81.396647226364,-25.681478406075826,0.009419069104620759,0.006136536611389326,-6.985917174760601,-7.270938181021164,55.46720276303563,-27.951024421069288,0.03149619749960675,-0.031496197499606526,-0.007142857142857145,-0.004761904761904773,-0.019230769230769384,-0.5,-0.01923076923076916,0.0,0.0,0.0,0.0,0.2734374784168807,0.0105168260929569,0.08026613933164839,0.003087159205063389,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000004,2.2049999999999983,-12.890000000000017,0.0,0.0,6.299224626137517,-0.9952489679999984,-0.1959300713172176,0.0,0.0,0.0,1.08
06>11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061698627,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.671365331528133,8.447663982776023,-14.223701348752115,0.009246606620798736,-0.009246606620798905,36.54355230031013,26.73243156495869,0.01051326254074028,0.006834405001264809,-27.789743737124294,-8.06809896685101,55.78942495789658,-24.67039564359237,0.02888412686711628,-0.02888412686711633,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.3007480475375175,0.011138816575463673,0.07729768110164947,0.00286287707783886,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999998,2.2050000000000125,-12.890000000000017,0.0,0.0,6.2992246261376295,-0.9952489679999984,-0.213082105482874,0.0,0.0,0.0,-0.94
06>33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.190463506169749,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.675625830111244,-14.963125573083856,-61.6387514031951,0.032240169221636805,-0.03224016922163686,61.59993846610297,2.9016020020452515,0.007851042605229147,0.005182493390466003,2.3093443621216068,-6.1863293866110505,73.35087872725933,-41.63837847023186,0.04539116435295909,-0.04539116435295906,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.2677342750169238,0.009916084259886104,0.07528473600712804,0.0027883235558195663,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999998,2.2050000000000125,-12.890000000000017,0.0,0.0,6.2992246261376295,-0.9952489679999416,-0.2130821054828722,0.0,0.0,0.0,0.03
07>03,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,59.233272265152436,5.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,48.78382378285636,71.52673925580154,22.742915472945185,0.0014102448443829019,-0.0014102448443830131,104.25010163867188,156.93655091901576,0.08963927528403197,-0.014874287229512506,-129.47639453532184,18.466856984303924,123.12287548421999,-2.812312445561986,0.01691282963048324,-0.016912829630483267,0.03105590062111802,0.035196687370600416,-0.04601648351648335,1.0,-0.010302197802197877,0.5,-0.0357142857142857,0.5,0.017857142857142856,2.726429885666384,0.044896053228316364,0.5284265369037326,0.004651884488514002,14.0,-0.05111111111111105,0.0,0.0,5.042378999999997,3.6056209999999993,0.0,0.0,0.0,0.0,0.0,1.0,0.025583982202447158,0.6135999999999986,8.757000000000005,-3.6599999999999966,1.0,0.4444444444444429,32.38543680148541,29.015315716000146,-0.18226110267575368,417.0,4.0,10.0,0.0
08>11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061699764,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.49190821346156,8.896508585764423,-9.595399627697132,0.006653374428589931,-0.00665337442858982,30.76842250593268,25.024083311656,0.010762072575521198,0.006908879255831779,-46.500477864717205,-8.16027499741125,20.79892891235261,6.589487886873371,-0.002838745297520928,0.002838745297520984,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.36679967417856574,0.013585173117724671,0.08155349889729724,0.0030204999591591512,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000002,2.2049999999999983,-12.890000000000017,0.0,0.0,6.299224626137517,-0.9952489680000554,-0.21308210548287576,0.0,0.0,0.0,-1.16
08>33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1904635061698627,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.49616871204466,-14.514280970095456,-57.01044968214012,0.029646937029427996,-0.029646937029427774,55.82480867172552,1.1932537487425634,0.008099852640010062,0.005256967645032973,-16.401389765471293,-6.278505417171289,38.36038268171535,-10.378494939766114,0.013668292188321884,-0.013668292188321746,-0.007142857142857145,-0.004761904761904773,-0.0185185185185186,-0.5,-0.01851851851851849,0.0,0.0,0.0,0.0,0.3337859016579721,0.0123624408021471,0.0795405538027758,0.002945946437139857,-0.009999999999990905,-0.011616161616161635,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050000000000002,2.2049999999999983,-12.890000000000017,0.0,0.0,6.299224626137517,-0.9952489679999984,-0.213082105482874,0.0,0.0,0.0,-0.19
10>02,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,71.35491997221607,5.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,60.734728864423005,15.548794156587519,-45.18593470783549,0.029005903705824895,-0.029005903705824895,90.90120320074504,57.851717253628294,-0.0106751542213471,-0.005804228492581415,-7.453079766278903,5.174668024585827,79.58899275016381,-3.305469729153245,0.013178720529846031,-0.013178720529845964,0.08049535603715169,0.08668730650154796,-0.043560606060605966,1.5,0.009469696969697015,0.0,-0.05303030303030298,0.0,-0.0018939393939393962,3.0780297239599115,0.06197813901623084,1.1172575871126025,0.028308974282487187,63.00000000000002,0.029218843172331525,0.0,0.0,4.673586,2.0064139999999995,1.0,1.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.3901000000000001,7.050000000000012,0.0,0.0,-0.2777777777777777,22.23551149997286,26.015650064000052,-0.14419291148500868,225.0,6.0,16.0,-1.63
10>04,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,15.202567291888725,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,42.409534009469894,26.415558228934287,-15.993975780535607,0.014047004565049205,-0.01404700456504926,69.1474569311979,64.54819136681624,-0.007413192239000083,-0.004004941800571482,-21.581339578812333,3.5320810350496856,74.7296642542326,-5.904572015828536,0.01488415605151261,-0.014884156051512734,0.04248366013071897,0.04575163398692808,-0.03359683794466406,0.5,-0.005928853754940677,0.0,-0.027667984189723268,0.0,-0.0009881422924901198,1.970226559709463,0.05108475504018595,0.5690355937288496,0.015222369198364975,5.0,-0.031135531135531136,0.0,0.0,3.0035859999999985,2.0064139999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.03666666666666667,0.39009999999999895,4.617000000000004,7.105427357601002e-15,0.0,0.0,17.29598522385743,14.015650064000056,-0.2415787828426552,112.0,3.0,4.0,-0.28
10>16,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,43.363227571759694,6.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,79.30345245975906,54.413884268406036,-24.88956819135302,0.02274870751543984,-0.022748707515439448,136.38002656768015,132.04876529185898,-0.013667516024102709,-0.007487463773022784,-11.135600102892028,6.744030095356437,145.41050879326838,-11.693172065103509,0.027371792827171396,-0.0273717928271712,0.08049535603715169,0.08668730650154796,-0.06439393939393945,1.0,-0.011363636363636355,0.0,-0.05303030303030298,0.0,-0.0018939393939393962,4.660284389786452,0.12790541675900324,0.9554615445641286,0.02156747250963409,10.0,-0.058119658119658135,0.0,0.0,6.007171999999998,4.012827999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.03205128205128206,0.636099999999999,9.164000000000016,7.105427357601002e-15,0.5,0.22222222222222232,34.591970447714736,28.03130012800011,-0.4509470613062891,226.0,6.0,10.0,-0.48
11>06,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1904635061698627,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-22.671365331528133,-8.447663982776023,14.223701348752115,-0.009246606620798736,0.009246606620798905,-36.54355230031013,-26.73243156495869,-0.01051326254074028,-0.006834405001264809,27.789743737124294,8.06809896685101,-55.78942495789658,24.67039564359237,-0.02888412686711628,0.02888412686711633,0.007142857142857145,0.004761904761904773,0.0185185185185186,0.5,0.01851851851851849,0.0,0.0,0.0,0.0,-0.3007480475375175,-0.011138816575463673,-0.07729768110164947,-0.00286287707783886,0.009999999999990905,0.011616161616161635,1.0,0.0,-1.2367929999999987,0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6049999999999998,-2.2050000000000125,12.890000000000017,0.0,0.0,-6.2992246261376295,0.9952489679999984,0.213082105482874,0.0,0.0,0.0,0.94
11>08,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.1904635061699764,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-18.49190821346156,-8.896508585764423,9.595399627697132,-0.006653374428589931,0.00665337442858982,-30.76842250593268,-25.024083311656,-0.010762072575521198,-0.006908879255831779,46.500477864717205,8.16027499741125,-20.79892891235261,-6.589487886873371,0.002838745297520928,-0.002838745297520984,0.007142857142857145,0.004761904761904773,0.0185185185185186,0.5,0.01851851851851849,0.0,0.0,0.0,0.0,-0.36679967417856574,-0.013585173117724671,-0.08155349889729724,-0.0030204999591591512,0.009999999999990905,0.011616161616161635,1.0,0.0,-1.2367929999999987,0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6050000000000002,-2.2049999999999983,12.890000000000017,0.0,0.0,-6.299224626137517,0.9952489680000554,0.21308210548287576,0.0,0.0,0.0,1.16
12>02,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-27.359052311264573,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.90288584024279,24.180848487521416,60.08373432776421,-0.029999950641141637,0.02999995064114158,-42.020366326915735,18.130781253382338,-0.0017986639756860934,-0.0010007109062644404,2.808077621801744,0.9179476795321476,-13.638279323732718,1.9162419710114875,-0.0032253431602868865,0.003225343160286956,0.0,0.0,-0.0008333333333332416,-0.75,-0.004166666666666653,-0.5,0.0033333333333334107,-0.5,-0.01916666666666667,-1.73669005912949,-0.035177389053122836,-0.24083528740358065,0.00025579156181446133,-7.009999999999992,0.0,0.0,0.0,-1.5132070000000013,0.4932070000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,-0.6534000000000006,-5.010000000000005,0.0,-1.0,0.0,-15.211068029906187,-33.96102764799991,-0.7897913406511616,-148.0,-2.0,-6.0,0.26
12>24,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-24.952192079634532,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-94.12833320682364,57.42848578233645,151.5568189891601,-0.07780239510726789,0.07780239510726794,-110.68986843608906,36.81203281279818,-0.010908963846223365,-0.006196441456542161,6.074627426670588,5.868498707011554,-57.51876969797401,20.818922273486663,-0.025350259198347325,0.025350259198347186,0.017543859649122806,0.0146198830409357,0.020000000000000014,-0.25,0.01666666666666661,-0.5,0.0033333333333334107,-0.5,-0.01916666666666667,-2.0359636306221915,-0.04764712119865211,-0.3208729134061654,-0.003079109521626572,-7.0,0.011074197120708729,1.0,0.0,-2.75,0.629999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,-1.2584000000000006,-7.2150000000000025,12.889999999999993,-1.0,0.0,-21.51029265604365,-32.965778679999964,-0.5777665222945227,-148.0,-2.0,-6.0,0.4
13>15,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,-141.681722786009,-1.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-19.27032309328285,2.258333141570006,21.528656234852857,-0.013151333800482999,0.013151333800483056,-25.254912049662096,-8.397132424487609,0.013069787125076645,0.0077710742692110035,-17.015647415109868,-7.913889704817848,-16.648216383782255,-0.36377356793070703,-0.00204989126507249,0.0020498912650723233,0.0,0.0146198830409357,-0.07000000000000006,-1.25,0.003043478260869481,-3.0,-0.07304347826086954,0.0,0.0,-1.3715959289205202,0.010125946035308251,-0.21742154425523186,0.010822994341787129,-14.009999999999993,0.011074197120708729,-1.0,0.0,-2.1032070000000047,0.43320699999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.008241758241758254,0.12831999999999974,-4.714999999999988,-23.789999999999992,-1.0,-0.22222222222222232,-23.01982792609357,-24.995248968000002,-0.4112099219312899,-312.0,-4.0,-10.0,0.0
13>17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-2.1182986678823,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,67.07383058770006,-39.38972133570656,-106.4635519234066,0.05530334464606157,-0.05530334464606157,79.11645985343472,-23.11613106793436,0.007990121886297219,0.004806648640322847,-11.172241953645596,-4.986671312439455,52.945226576005666,-25.26111732401215,0.0284065949830804,-0.028406594983080458,-0.017543859649122806,-0.01315789473684209,-0.020000000000000014,-0.5,-0.020000000000000014,0.0,0.0,0.0,0.0,0.29389659078008634,0.0117558636312034,0.08024288894035791,0.0032097155576143177,-0.009999999999990905,-0.010570824524312905,-1.0,0.0,1.2367929999999987,-0.13679300000000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049999999999991,2.2050000000000125,-12.889999999999983,0.0,0.0,6.299224626137459,-0.9952489679999984,-0.19817457306558686,0.0,0.0,0.0,-0.44
13>18,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,-1.0,39.47024301767794,4.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,56.51176093392513,54.352527341462526,-2.1592335924626127,0.013504973845005151,-0.013504973845004709,104.08138487016953,129.4002633761462,0.001960750955735252,0.0011962307946783155,2.8713807585351963,-1.2700050421526896,107.20179768176183,3.662490593625876,0.010652186804324892,-0.010652186804324532,0.03508771929824561,0.022556390977443608,-0.07961538461538464,0.25,-0.01576923076923076,-1.0,-0.06384615384615389,0.0,0.0,2.3865877005233287,0.060936206025270175,0.4875551556599485,0.009783844176991574,6.990000000000008,-0.03958436417615041,-1.0,0.0,4.240378999999997,2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694581280788173,0.4997199999999984,7.837000000000002,-23.789999999999978,0.0,-4.440892098500626e-16,23.59520984999477,13.020401096000054,-0.3803686785434737,193.0,1.0,4.0,-1.927
13>19,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,-83.91961833737992,2.0,-1.0,3.0,0.0,-1.0,0.0,-1.0,3.0,0.0,11.434069088088052,48.58841770308732,37.15434861499927,-0.010454981299460042,0.010454981299460207,34.52930714144827,88.82718758481873,0.01050049359351615,0.0062803305006262355,-10.607969458515726,-6.455436999932289,56.31253209145211,3.7099546997233688,0.004411384089905046,-0.004411384089904796,0.03508771929824561,0.05263157894736842,-0.10125000000000006,-0.75,-0.003750000000000031,-3.0,-0.09750000000000003,0.0,0.0,0.8155998893545195,0.06741025971753434,0.13630132157655428,0.01539485535978011,-7.009999999999992,-0.020671834625323016,-1.0,0.0,0.9003789999999938,2.439620999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.4367399999999984,0.02199999999999136,-23.789999999999978,0.0,0.0,-5.723842702236254,-10.979598903999944,-0.5872991866171464,-168.0,-2.0,-4.0,-0.05
