Perturbation,ddG_offset
ACK1_3>ACK1_7,2.823
ACK1_3>ACK1_5,0.042
ACK1_38>ACK1_15,1.18
ACK1_36>ACK1_35,0.558
ACK1_45>ACK1_44,1.133
ACK1_3>ACK1_6,1.258
ACK1_2>ACK1_5,-2.316
ACK1_4>ACK1_7,1.735
ACK1_6>ACK1_5,-1.636
ACK1_16>ACK1_15,-0.691
ACK1_2>ACK1_6,-0.612
ACK1_15>ACK1_8,1.2
ACK1_6>ACK1_2,0.36
ACK1_35>ACK1_36,0.042
ACK1_16>ACK1_44,-1.521
ACK1_15>ACK1_38,-0.62
ACK1_8>ACK1_6,-0.133
ACK1_4>ACK1_3,-1.088
ACK1_6>ACK1_3,-1.758
ACK1_7>ACK1_6,-0.665
ACK1_5>ACK1_3,0.378
ACK1_39>ACK1_35,1.347
ACK1_36>ACK1_38,-0.699
ACK1_35>ACK1_39,-1.247
ACK1_4>ACK1_6,0.77
ACK1_6>ACK1_4,-1.15
ACK1_7>ACK1_3,-2.523
ACK1_44>ACK1_16,-0.769
ACK1_15>ACK1_16,0.231
ACK1_16>ACK1_45,-0.064
ACK1_38>ACK1_36,0.799
ACK1_5>ACK1_2,2.446
ACK1_6>ACK1_7,1.065
ACK1_7>ACK1_4,-1.615
ACK1_38>ACK1_39,0.121
ACK1_44>ACK1_45,-0.933
ACK1_6>ACK1_8,-0.127
ACK1_3>ACK1_4,0.928
ACK1_5>ACK1_6,1.336
ACK1_39>ACK1_38,0.389
ACK1_45>ACK1_16,-0.936
ACK1_8>ACK1_15,-0.2
ACK1_3>ACK1_2,2.718
ACK1_2>ACK1_3,-2.218
