,Fold,MAE/MAD
0,1,1.0262555196192653
1,1,0.7857300159499228
2,1,0.7857300159499228
3,1,0.7857300159499228
4,1,0.7857300159499228
5,1,0.7857300159499228
6,1,0.6026164678339785
7,1,0.6026164678339785
8,1,0.6026164678339785
9,1,0.6026164678339785
10,1,0.6026164678339785
11,1,0.6026164678339785
12,1,0.6026164678339785
13,1,0.6026164678339785
14,1,0.6026164678339785
15,1,0.6012752620545472
16,1,0.6012752620545472
17,1,0.6012752620545472
18,1,0.6012752620545472
19,1,0.6012752620545472
20,1,0.6012752620545472
21,1,0.6012752620545472
22,1,0.6012752620545472
23,1,0.6012752620545472
24,1,0.6012752620545472
25,1,0.6012752620545472
26,1,0.6012752620545472
27,1,0.6012752620545472
28,1,0.6012752620545472
29,1,0.6012752620545472
30,1,0.6012752620545472
31,1,0.6012752620545472
32,1,0.6012752620545472
33,1,0.6012752620545472
34,1,0.6012752620545472
35,1,0.6012752620545472
36,1,0.6012752620545472
37,1,0.6012752620545472
38,1,0.5977007460545097
39,1,0.5977007460545097
0,2,1.1017838432060059
1,2,1.1017838432060059
2,2,0.9780883390334456
3,2,0.9780883390334456
4,2,0.9546988989710917
5,2,0.9546988989710917
6,2,0.9546988989710917
7,2,0.8516431638569104
8,2,0.8516431638569104
9,2,0.8516431638569104
10,2,0.8516431638569104
11,2,0.8516431638569104
12,2,0.8516431638569104
13,2,0.7192302617778206
14,2,0.7192302617778206
15,2,0.7192302617778206
16,2,0.7192302617778206
17,2,0.7192302617778206
18,2,0.7192302617778206
19,2,0.7192302617778206
20,2,0.7192302617778206
21,2,0.7192302617778206
22,2,0.7192302617778206
23,2,0.7192302617778206
24,2,0.7192302617778206
25,2,0.7192302617778206
26,2,0.7180136046301402
27,2,0.7180136046301402
28,2,0.7180136046301402
29,2,0.7180136046301402
30,2,0.7180136046301402
31,2,0.7180136046301402
32,2,0.7180136046301402
33,2,0.7180136046301402
34,2,0.7180136046301402
35,2,0.7180136046301402
36,2,0.7180136046301402
37,2,0.7180136046301402
38,2,0.7180136046301402
39,2,0.7180136046301402
0,3,0.9886933223007875
1,3,0.9886933223007875
2,3,0.9886933223007875
3,3,0.9886933223007875
4,3,0.9886933223007875
5,3,0.9886933223007875
6,3,0.9886933223007875
7,3,0.6109054467088996
8,3,0.6109054467088996
9,3,0.6109054467088996
10,3,0.6109054467088996
11,3,0.6109054467088996
12,3,0.6109054467088996
13,3,0.6109054467088996
14,3,0.6109054467088996
15,3,0.6109054467088996
16,3,0.6109054467088996
17,3,0.6109054467088996
18,3,0.6109054467088996
19,3,0.6109054467088996
20,3,0.6109054467088996
21,3,0.6109054467088996
22,3,0.6109054467088996
23,3,0.6109054467088996
24,3,0.6109054467088996
25,3,0.6109054467088996
26,3,0.6109054467088996
27,3,0.6109054467088996
28,3,0.6109054467088996
29,3,0.6109054467088996
30,3,0.6109054467088996
31,3,0.6109054467088996
32,3,0.6109054467088996
33,3,0.6109054467088996
34,3,0.6109054467088996
35,3,0.6109054467088996
36,3,0.5878123685591795
37,3,0.5878123685591795
38,3,0.5878123685591795
39,3,0.5878123685591795
0,4,1.0453954237550778
1,4,1.0108216638385779
2,4,1.0108216638385779
3,4,1.0108216638385779
4,4,0.8779881458091107
5,4,0.8779881458091107
6,4,0.8779881458091107
7,4,0.8779881458091107
8,4,0.8779881458091107
9,4,0.8779881458091107
10,4,0.8779881458091107
11,4,0.6887668401769632
12,4,0.6887668401769632
13,4,0.6887668401769632
14,4,0.6887668401769632
15,4,0.6887668401769632
16,4,0.6887668401769632
17,4,0.6887668401769632
18,4,0.6887668401769632
19,4,0.6887668401769632
20,4,0.6887668401769632
21,4,0.6887668401769632
22,4,0.6887668401769632
23,4,0.6887668401769632
24,4,0.6887668401769632
25,4,0.6887668401769632
26,4,0.6712769441159073
27,4,0.6712769441159073
28,4,0.6712769441159073
29,4,0.6712769441159073
30,4,0.6712769441159073
31,4,0.6712769441159073
32,4,0.6712769441159073
33,4,0.6712769441159073
34,4,0.6712769441159073
35,4,0.6712769441159073
36,4,0.6712769441159073
37,4,0.6712769441159073
38,4,0.6712769441159073
39,4,0.6712769441159073
0,5,0.9848190852363815
1,5,0.7301134167240986
2,5,0.7301134167240986
3,5,0.7301134167240986
4,5,0.7301134167240986
5,5,0.7301134167240986
6,5,0.7301134167240986
7,5,0.7301134167240986
8,5,0.7301134167240986
9,5,0.7301134167240986
10,5,0.7301134167240986
11,5,0.7301134167240986
12,5,0.7301134167240986
13,5,0.7301134167240986
14,5,0.7301134167240986
15,5,0.6250853822060788
16,5,0.6250853822060788
17,5,0.6250853822060788
18,5,0.6250853822060788
19,5,0.6250853822060788
20,5,0.6250853822060788
21,5,0.6250853822060788
22,5,0.6250853822060788
23,5,0.6250853822060788
24,5,0.6250853822060788
25,5,0.6250853822060788
26,5,0.6250853822060788
27,5,0.6108898131605809
28,5,0.6108898131605809
29,5,0.6108898131605809
30,5,0.6108898131605809
31,5,0.6108898131605809
32,5,0.6108898131605809
33,5,0.6108898131605809
34,5,0.6108898131605809
35,5,0.6108898131605809
36,5,0.6108898131605809
37,5,0.6108898131605809
38,5,0.6108898131605809
39,5,0.6108898131605809
