,Correlation Coefficient,Fold number,Correlation metric
0,0.8640242476309747,1,Pearsons-r
1,0.6790685436246761,1,Kendalls-tau
2,0.4293558697793107,1,MAE/MAD
3,0.8267086286894031,2,Pearsons-r
4,0.6876839615519775,2,Kendalls-tau
5,0.48994714499378433,2,MAE/MAD
6,0.7097716153473047,3,Pearsons-r
7,0.583339242017658,3,Kendalls-tau
8,0.623016403740601,3,MAE/MAD
9,0.7123617427385822,4,Pearsons-r
10,0.6063070865039885,4,Kendalls-tau
11,0.5702818316586808,4,MAE/MAD
12,0.7442873672658299,5,Pearsons-r
13,0.6201485765747866,5,Kendalls-tau
14,0.5572261387857715,5,MAE/MAD
